Species,JMOE,IUCN
Lethenteron sp. S,VU,LC
Hemitrygon akajei,LC,NT
Aetobatus narutobiei,LC,LC
Anguilla japonica,EN,EN
Ophisurus macrorhynchos,LC,LC
Coilia nasus,EN,EN
Engraulis japonicus,LC,LC
Clupea pallasii,LP,DD
Etrumeus micropus,LC,LC
Ilisha elongata,LC,LC
Konosirus punctatus,LC,LC
Sardinella zunasi,LC,LC
Sardinops melanostictus,LC,LC
Spratelloides gracilis,LC,LC
Acheilognathus cyanostigma,CR,EN
Acheilognathus melanogaster,EN,VU
Acheilognathus tabira jordani,CR,NT
Biwia zezera,VU,LC
Carassius spp.,LC,LC
Ctenopharyngodon idella,LC,LC
Cyprinus spp.,LC,LC
Gnathopogon caerulescens,CR,EN
Gnathopogon elongatus elongatus,LC,LC
Hemibarbus spp.,LC,LC
Nipponocypris temminckii,LC,LC
Phoxinus lagowskii steindachneri ,LC,LC
Phoxinus oxycephalus jouyi,LC,LC
Phoxinus percnurus sachalinensis,NT,LC
Pseudogobio esocinus,LC,LC
Pseudogobio agathonectris,LC,LC
Pseudogobio polystictus,LC,LC
Pseudorasbora parva,LC,LC
Pungtungia herzi,LC,LC
Rhodeus ocellatus ocellatus,LC,LC
Sarcocheilichthys variegatus microoculus,LC,LC
Squalidus gracilis gracilis,LC,LC
Squalius spp.,VU,LC
Tanakia lanceolata,NT,LC
Tanakia limbata,NT,LC
Tribolodon brandtii maruta,LC,LC
Tribolodon brandtii brandtii,LP,LC
Tribolodon hakonensis,LC,LC
Tribolodon sachalinensis,LP,LC
Opsariichthys platypus,LC,LC
Cobitis minamorii saninensis,EN,NT
Cobitis sp. BIWAE typeA,LC,LC
Cobitis sp. BIWAE typeB,LC,LC
Cobitis sp. BIWAE typeC,LC,LC
Cobitis minamorii tokaiensis,EN,NT
Cobitis striata striata,VU,LC
Cobitis takatsuensis,EN,NT
Misgurnus anguillicaudatus,NT,LC
Misgurnus sp. Clade A,DD,LC
Misgurnus sp.,LC,LC
Niwaella delicata,VU,LC
Noemacheilus barbatulus toni,LC,LC
Lefua echigonia,EN,LC
Lefua nikkonis,EN,LC
Liobagrus reini,VU,LC
Silurus asotus,LC,LC
Plotosus japonicus,LC,LC
Tachysurus nudiceps,LC,LC
Hypomesus olidus,NT,LC
Plecoglossus altivelis altivelis,LC,DD
Salangichthys ishikawae,LC,LC
Salanx ariakensis,CR,LC
Oncorhynchus gorbuscha,LC,LC
Oncorhynchus keta,LC,LC
Oncorhynchus masou masou,NT,LC
Oncorhynchus mykiss,LC,LC
Salvelinus sp.,LC,LC
Oryzias sakaizumii,VU,LC
Saurida elongata,LC,LC
Diaphus chrysorhynchus,LC,LC
