,Lethenteron sp. S,Hemitrygon akajei,Dasyatis thetidis,Aetobatus narutobiei,Megalops cyprinoides,Anguilla japonica,Gymnothorax kidako,Ophisurus macrorhynchos,Muraenesox cinereus,Coilia nasus,Encrasicholina devisi,Engraulis japonicus,Clupea pallasii,Etrumeus micropus,Ilisha elongata,Konosirus punctatus,Sardinella zunasi,Sardinops melanostictus,Spratelloides gracilis,Acheilognathus cyanostigma,Acheilognathus melanogaster,Acheilognathus rhombeus,Acheilognathus tabira jordani,Biwia zezera,Carassius spp.,Ctenopharyngodon idella,Cyprinus spp.,Gnathopogon caerulescens,Gnathopogon elongatus elongatus,Hemibarbus spp.,Ischikauia steenackeri,Nipponocypris sieboldii,Nipponocypris temminckii,Phoxinus lagowskii steindachneri ,Phoxinus oxycephalus jouyi,Phoxinus percnurus sachalinensis,Pseudogobio esocinus,Pseudogobio agathonectris,Pseudogobio polystictus,Pseudorasbora parva,Pungtungia herzi,Rhodeus ocellatus ocellatus,Sarcocheilichthys variegatus microoculus,Squalidus gracilis gracilis,Squalius spp.,Tanakia lanceolata,Tanakia limbata,Tribolodon brandtii maruta,Tribolodon brandtii brandtii,Tribolodon hakonensis,Tribolodon sachalinensis,Opsariichthys platypus,Cobitis minamorii saninensis,Cobitis sp. BIWAE typeA,Cobitis sp. BIWAE typeB,Cobitis sp. BIWAE typeC,Cobitis minamorii tokaiensis,Cobitis striata striata,Cobitis takatsuensis,Misgurnus anguillicaudatus,Misgurnus sp. Clade A,Misgurnus sp.,Niwaella delicata,Noemacheilus barbatulus toni,Lefua echigonia,Lefua nikkonis,Liobagrus reini,Silurus asotus,Plotosus japonicus,Tachysurus nudiceps,Hypomesus olidus,Plecoglossus altivelis altivelis,Salangichthys ishikawae,Salanx ariakensis,Oncorhynchus gorbuscha,Oncorhynchus keta,Oncorhynchus masou masou,Oncorhynchus mykiss,Salvelinus sp.,Oryzias sakaizumii,Oryzias latipes,Saurida elongata,Diaphus chrysorhynchus,Bregmaceros arabicus,Gadus macrocephalus,Liza affinis,Liza haematocheila,Liza macrolepis,Mugil cephalus,Iso flosmaris,Atherion elymus,Hypoatherina tsurugae,Hypoatherina valenciennei,Cypselurus spp.,Hyporhamphus intermedius,Hyporhamphus sajori,Ablennes hians,Strongylura anastomella,Tylosurus crocodilus crocodilus,Cololabis saira,Hypoptychus dybowskii,Pungitius spp.,Hippichthys penicillus,Syngnathus schlegeli,Apistus carinatus,Inimicus japonicus,Hypodytes rubripinnis,Scorpaena miostoma,Scorpaenopsis cirrosa,Sebastes spp.,Sebastiscus marmoratus,Chelidonichthys spinosus,Platycephalus sp. 1,Platycephalus sp. 2,Hexagrammos spp.,Bero elegans,Cottus amblystomopsis,Cottus kazika,Cottus pollux,Cottus reinii,Porocottus allisi,Liparis agassizii,Liparis punctulatus,Lateolabrax japonicus,Lateolabrax latus,Lateolabrax masclulatus,Coreoperca kawamebari,Acropoma japonicum,Diploprion bifasciatum,Epinephelus akaara,Epinephelus areolatus,Epinephelus awoara,Epinephelus merra,Lepomis macrochirus,Micropterus dolomieu,Micropterus salmoides salmoides,Apogon coccineus,Apogon unicolor,Ostorhinchus doederleini,Ostorhinchus notatus,Ostorhinchus semilineatus,Sillago japonica,Decapterus maruadsi,Seriola dumerili,Seriola lalandi,Seriola quinqueradiata,Trachinotus baillonii,Trachurus japonicus,Equulites rivulatus,Nuchequula nuchalis,Lutjanus ophuysenii,Pterocaesio tile,Gerres equulus,Hapalogenys nigripinnis,Hapalogenys sennin,Parapristipoma trilineatum,Plectorhinchus cinctus,Acanthopagrus latus,Acanthopagrus schlegelii,Evynnis tumifrons,Pagrus major,Rhabdosargus sarba,Polydactylus plebeius,Nibea albiflora,Nibea mitsukurii,Pennahia argentata,Parupeneus ciliatus,Parupeneus indicus,Parupeneus spilurus,Upeneus japonicus,Pempheris spp.,Girella leonina,Girella punctata,Kyphosus bigibbus,Microcanthus strigatus,Chaetodon spp,Rhynchopelates oxyrhynchus,Terapon jarbua,Oplegnathus fasciatus,Cheilodactylus spp.,Acanthocepola krusensternii,Ditrema temminckii subspp.,Neoditrema ransonneti,Abudefduf spp.,Chromis notata notata,Pomacentrus coelestis,Pomacentrus nagasakiensis,Halichoeres poecilopterus,Halichoeres tenuispinis,Pseudolabrus eoethinus,Pseudolabrus sieboldi,Semicossyphus reticulatus,Stethojulis interrupta terina,Suezichthys gracilis,Thalassoma lunare,Thalassoma cupido,Stichaeidae,Dictyosoma burgeri Form a,Dictyosoma burgeri Form b,Dictyosoma rubrimaculatum,Ernogrammus hexagrammus,Neozoarces steindachneri,Stichaeopsis nana,Zoarchias neglectus,Zoarchias veneficus,Pholis spp.,Pholis nebulosa,Rhodymenichthys dolichogaster,Ammodytes japonicus,Enneapterygius etheostomus,Springerichthys bapturus,Enneapterygius sp.,Entomacrodus stellifer stellifer,Istiblennius enosimae,Istiblennius sp.,Omobranchus elegans,Omobranchus fasciolatoceps,Omobranchus loxozonus,Omobranchus punctatus,Parablennius yatabei,Petroscirtes breviceps,Rhabdoblennius nitidus,Neoclinus bryope,Repomucenus spp.,Callionymidae spp.,Repomucenus valenciennei,Odontobutis hikimius,Odontobutis obscura,Eleotris oxycephala,Eleotris sp.,Acanthogobius flavimanus,Acanthogobius hasta,Acentrogobius spp.,Amblychaeturichthys hexanema,Amblychaeturichthys sciistius,Bathygobius cocosensis,Bathygobius sp.,Boleophthalmus pectinirostris,Callogobius snelliusi,Callogobius tanegasimae,Chaenogobius annularis,Chaenogobius gulosus,Chaeturichthys jeoni ,Eutaeniichthys gilli,Eviota abax,Favonigobius gymnauchen,Acanthogobius lactipes,Glossogobius olivaceus,Gymnogobius breunigii,Gymnogobius castaneus,Gymnogobius heptacanthus,Gymnogobius macrognathos,Gymnogobius opperiens,Gymnogobius petschiliensis,Gymnogobius scrobiculatus,Gymnogobius urotaenia,Istigobius campbelli,Leucopsarion petersii,Luciogobius guttatus,Luciogobius pallidus,Luciogobius saikaiensis,Luciogobius spp.,Mugilogobius abei,Myersina filifer,Odontamblyopus lacepedii,Periophthalmus modestus,Pseudogobius masago,Redigobius bikolanus,Rhinogobius flumineus,Rhinogobius similis,Rhinogobius sp.,Sagamia geneionema,Sicyopterus japonicus,Taenioides snyderi ,Tridentiger barbatus,Tridentiger trigonocephalus,Tridentiger spp.,Clariger cosmurus,Parioglossus dotui,Scatophagus argus,Siganus fuscescens,Siganus spp,Acanthurus triostegus,Prionurus scalprum,Sphyraena japonica,Sphyraena pinguis,Sphyraena obtusata,Auxis spp,Sarda orientalis,Scomber spp.,Scomberomorus niphonius,Channa argus,Paralichthys olivaceus,Pseudorhombus pentophthalmus,Eopsetta grigorjewi,Platichthys stellatus,Platichthys bicoloratus,Pseudopleuronectes spp.,Heteromycteris japonicus,Paraplagusia japonica,Triacanthus biaculeatus,Rudarius ercodes,Stephanolepis cirrhifer,Thamnaconus modestus,Ostracion spp.,Canthigaster rivulata,Lagocephalus spp.,Takifugu spp.
Aka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,0,4397,0,539,258,0,0,0,398,20,0,0,0,997,45,0,0,62,0,0,0,0,0,18,5712,0,117,0,0,0,0,0,0,0,4220,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,62,23,0,0,0,0,0,0,23,0,1127,0,1889,0,0,0,0,0,0,0,46,2036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1675,0,0,0,0,1665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,53,0,32,0,93,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,123,0,221,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1206,0,0,0,0,0,2109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
Ara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,195,0,0,40,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060,44,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,278,0,0,0,0,119,0,0,0,0,0,0,0,0,0,2215,0,1780,0,0,0,0,0,0,22,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,3824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
Asahi,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,1079,0,0,0,0,0,0,0,0,51,0,66,0,0,255,0,0,0,0,0,0,0,0,0,0,168,0,0,20,147,78,153,0,0,0,0,432,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5046,0,10144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,32,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,277,0,57,0,0,0,0,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
Chikugo,0,0,0,0,0,0,0,0,0,209,0,0,0,0,2733,3344,5645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,3019,8920,0,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2776,0,43,0,0,0,0,0,0,0,0,0,306,0,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuji,0,0,0,0,0,292,0,0,0,0,0,77,0,0,0,17225,0,0,0,0,0,0,0,0,0,0,1434,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,3706,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,167,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,19,1168,0,51,0,0,0,2209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1418
Hiji,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,260,0,4843,0,326,251,0,0,305,0,0,0,330,0,0,0,0,49,0,0,55,0,0,0,0,422,0,932,0,0,0,0,0,0,0,200,0,29,0,0,0,0,0,0,0,0,0,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,198,0,0,18,0,0,0,0,0,0,0,0,0,0,0,89,184,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,66,0,41,0,327,0,0,0,0,0,0,0,252,0,0,4969,24,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,304,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,46,4209,0,0,0,0,0,4017,0,0,0,0,0,0,0,0,0,0,0,0,90,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176
Hino,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,35,0,936,0,1092,281,421,0,0,0,622,0,20,0,843,0,0,0,1270,0,0,0,0,0,0,0,0,1342,0,2058,55,0,45,0,0,0,0,283,0,38,0,0,0,0,65,73,0,0,0,1339,0,0,0,0,31,0,0,0,0,0,0,0,0,0,38,0,665,0,0,0,0,95,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,470,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,732,0,0,0,0,0,0,0,0,0,0,90,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,418,0,0,0,0,0,0,0,0,0,0,0,0,0,2212,9303,0,0,0,0,0,5129,0,0,0,0,0,0,0,0,0,0,0,0,26,0,46,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
Kuma,0,0,0,80,0,51,0,0,0,0,0,0,0,0,0,823,151,0,0,0,0,0,0,0,200,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769,0,0,1208,0,0,0,0,0,0,0,0,1826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,1667,22,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802,0,0,0,0,0,0,0,772,21575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,33,20,64,0,0,0,0,0,17,0,0,0,0,0,0,0,18,0,0,108,9,0,0,0,150,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuzuryu,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,430,59,60,0,0,0,0,50,0,672,0,247,0,69,124,0,0,39,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,731,0,0,0,0,0,0,0,0,0,92,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16817,0,8554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556
Mabechi,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,129,0,56,0,0,76,0,0,0,17,0,274,0,0,1063,0,0,0,536,0,0,0,0,200,24,0,0,127,0,0,0,0,0,872,5689,0,0,0,0,0,0,0,0,0,174,0,0,0,27,0,0,0,31,0,0,56,30,0,0,0,0,24,0,0,0,0,0,0,0,0,0,502,0,14182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3602,0,0,0,83,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,1075,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,0
