,Lethenteron sp. S,Hemitrygon akajei,Dasyatis thetidis,Aetobatus narutobiei,Megalops cyprinoides,Anguilla japonica,Gymnothorax kidako,Ophisurus macrorhynchos,Muraenesox cinereus,Coilia nasus,Encrasicholina devisi,Engraulis japonicus,Clupea pallasii,Etrumeus micropus,Ilisha elongata,Konosirus punctatus,Sardinella zunasi,Sardinops melanostictus,Spratelloides gracilis,Acheilognathus cyanostigma,Acheilognathus melanogaster,Acheilognathus rhombeus,Acheilognathus tabira jordani,Biwia zezera,Carassius spp.,Ctenopharyngodon idella,Cyprinus spp.,Gnathopogon caerulescens,Gnathopogon elongatus elongatus,Hemibarbus spp.,Ischikauia steenackeri,Nipponocypris sieboldii,Nipponocypris temminckii,Phoxinus lagowskii steindachneri ,Phoxinus oxycephalus jouyi,Phoxinus percnurus sachalinensis,Pseudogobio esocinus,Pseudogobio agathonectris,Pseudogobio polystictus,Pseudorasbora parva,Pungtungia herzi,Rhodeus ocellatus ocellatus,Sarcocheilichthys variegatus microoculus,Squalidus gracilis gracilis,Squalius spp.,Tanakia lanceolata,Tanakia limbata,Tribolodon brandtii maruta,Tribolodon brandtii brandtii,Tribolodon hakonensis,Tribolodon sachalinensis,Opsariichthys platypus,Cobitis minamorii saninensis,Cobitis sp. BIWAE typeA,Cobitis sp. BIWAE typeB,Cobitis sp. BIWAE typeC,Cobitis minamorii tokaiensis,Cobitis striata striata,Cobitis takatsuensis,Misgurnus anguillicaudatus,Misgurnus sp. Clade A,Misgurnus sp.,Niwaella delicata,Noemacheilus barbatulus toni,Lefua echigonia,Lefua nikkonis,Liobagrus reini,Silurus asotus,Plotosus japonicus,Tachysurus nudiceps,Hypomesus olidus,Plecoglossus altivelis altivelis,Salangichthys ishikawae,Salanx ariakensis,Oncorhynchus gorbuscha,Oncorhynchus keta,Oncorhynchus masou masou,Oncorhynchus mykiss,Salvelinus sp.,Oryzias sakaizumii,Oryzias latipes,Saurida elongata,Diaphus chrysorhynchus,Bregmaceros arabicus,Gadus macrocephalus,Liza affinis,Liza haematocheila,Liza macrolepis,Mugil cephalus,Iso flosmaris,Atherion elymus,Hypoatherina tsurugae,Hypoatherina valenciennei,Cypselurus spp.,Hyporhamphus intermedius,Hyporhamphus sajori,Ablennes hians,Strongylura anastomella,Tylosurus crocodilus crocodilus,Cololabis saira,Hypoptychus dybowskii,Pungitius spp.,Hippichthys penicillus,Syngnathus schlegeli,Apistus carinatus,Inimicus japonicus,Hypodytes rubripinnis,Scorpaena miostoma,Scorpaenopsis cirrosa,Sebastes spp.,Sebastiscus marmoratus,Chelidonichthys spinosus,Platycephalus sp. 1,Platycephalus sp. 2,Hexagrammos spp.,Bero elegans,Cottus amblystomopsis,Cottus kazika,Cottus pollux,Cottus reinii,Porocottus allisi,Liparis agassizii,Liparis punctulatus,Lateolabrax japonicus,Lateolabrax latus,Lateolabrax masclulatus,Coreoperca kawamebari,Acropoma japonicum,Diploprion bifasciatum,Epinephelus akaara,Epinephelus areolatus,Epinephelus awoara,Epinephelus merra,Lepomis macrochirus,Micropterus dolomieu,Micropterus salmoides salmoides,Apogon coccineus,Apogon unicolor,Ostorhinchus doederleini,Ostorhinchus notatus,Ostorhinchus semilineatus,Sillago japonica,Decapterus maruadsi,Seriola dumerili,Seriola lalandi,Seriola quinqueradiata,Trachinotus baillonii,Trachurus japonicus,Equulites rivulatus,Nuchequula nuchalis,Lutjanus ophuysenii,Pterocaesio tile,Gerres equulus,Hapalogenys nigripinnis,Hapalogenys sennin,Parapristipoma trilineatum,Plectorhinchus cinctus,Acanthopagrus latus,Acanthopagrus schlegelii,Evynnis tumifrons,Pagrus major,Rhabdosargus sarba,Polydactylus plebeius,Nibea albiflora,Nibea mitsukurii,Pennahia argentata,Parupeneus ciliatus,Parupeneus indicus,Parupeneus spilurus,Upeneus japonicus,Pempheris spp.,Girella leonina,Girella punctata,Kyphosus bigibbus,Microcanthus strigatus,Chaetodon spp,Rhynchopelates oxyrhynchus,Terapon jarbua,Oplegnathus fasciatus,Cheilodactylus spp.,Acanthocepola krusensternii,Ditrema temminckii subspp.,Neoditrema ransonneti,Abudefduf spp.,Chromis notata notata,Pomacentrus coelestis,Pomacentrus nagasakiensis,Halichoeres poecilopterus,Halichoeres tenuispinis,Pseudolabrus eoethinus,Pseudolabrus sieboldi,Semicossyphus reticulatus,Stethojulis interrupta terina,Suezichthys gracilis,Thalassoma lunare,Thalassoma cupido,Stichaeidae,Dictyosoma burgeri Form a,Dictyosoma burgeri Form b,Dictyosoma rubrimaculatum,Ernogrammus hexagrammus,Neozoarces steindachneri,Stichaeopsis nana,Zoarchias neglectus,Zoarchias veneficus,Pholis spp.,Pholis nebulosa,Rhodymenichthys dolichogaster,Ammodytes japonicus,Enneapterygius etheostomus,Springerichthys bapturus,Enneapterygius sp.,Entomacrodus stellifer stellifer,Istiblennius enosimae,Istiblennius sp.,Omobranchus elegans,Omobranchus fasciolatoceps,Omobranchus loxozonus,Omobranchus punctatus,Parablennius yatabei,Petroscirtes breviceps,Rhabdoblennius nitidus,Neoclinus bryope,Repomucenus spp.,Callionymidae spp.,Repomucenus valenciennei,Odontobutis hikimius,Odontobutis obscura,Eleotris oxycephala,Eleotris sp.,Acanthogobius flavimanus,Acanthogobius hasta,Acentrogobius spp.,Amblychaeturichthys hexanema,Amblychaeturichthys sciistius,Bathygobius cocosensis,Bathygobius sp.,Boleophthalmus pectinirostris,Callogobius snelliusi,Callogobius tanegasimae,Chaenogobius annularis,Chaenogobius gulosus,Chaeturichthys jeoni ,Eutaeniichthys gilli,Eviota abax,Favonigobius gymnauchen,Acanthogobius lactipes,Glossogobius olivaceus,Gymnogobius breunigii,Gymnogobius castaneus,Gymnogobius heptacanthus,Gymnogobius macrognathos,Gymnogobius opperiens,Gymnogobius petschiliensis,Gymnogobius scrobiculatus,Gymnogobius urotaenia,Istigobius campbelli,Leucopsarion petersii,Luciogobius guttatus,Luciogobius pallidus,Luciogobius saikaiensis,Luciogobius spp.,Mugilogobius abei,Myersina filifer,Odontamblyopus lacepedii,Periophthalmus modestus,Pseudogobius masago,Redigobius bikolanus,Rhinogobius flumineus,Rhinogobius similis,Rhinogobius sp.,Sagamia geneionema,Sicyopterus japonicus,Taenioides snyderi ,Tridentiger barbatus,Tridentiger trigonocephalus,Tridentiger spp.,Clariger cosmurus,Parioglossus dotui,Scatophagus argus,Siganus fuscescens,Siganus spp,Acanthurus triostegus,Prionurus scalprum,Sphyraena japonica,Sphyraena pinguis,Sphyraena obtusata,Auxis spp,Sarda orientalis,Scomber spp.,Scomberomorus niphonius,Channa argus,Paralichthys olivaceus,Pseudorhombus pentophthalmus,Eopsetta grigorjewi,Platichthys stellatus,Platichthys bicoloratus,Pseudopleuronectes spp.,Heteromycteris japonicus,Paraplagusia japonica,Triacanthus biaculeatus,Rudarius ercodes,Stephanolepis cirrhifer,Thamnaconus modestus,Ostracion spp.,Canthigaster rivulata,Lagocephalus spp.,Takifugu spp.
Aka,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,50,0,0,0,0,0,0,0,0,316,0,9691,0,818,423,0,0,0,530,63,0,0,0,810,0,0,22,17,0,0,0,0,0,0,5037,0,130,0,0,0,0,0,0,0,3905,28,0,0,0,97,0,0,101,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,194,0,210,0,0,0,0,0,0,0,53,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774,0,0,0,0,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,0,0,146,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,0,0,0,0,0,1774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1274
Ara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,626,0,0,132,0,0,0,26,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,1504,0,39,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,644,48,0,0,0,0,0,0,0,0,0,0,0,0,0,371,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,841,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,5201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
Asahi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,0,0,0,0,0,0,0,0,113,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,84,0,0,0,31,76,159,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2560,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,25385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,182,0,0,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,148,0,0,0,0,0,0,61,0,0,0,0,0,0,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chikugo,0,0,0,0,0,0,0,0,0,2663,0,0,0,0,0,1290,568,0,0,0,0,0,0,0,0,0,1962,0,0,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14253,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2103,0,2608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,3779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuji,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,15860,0,0,0,0,0,0,0,0,0,0,4426,0,0,0,0,0,0,37,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,2894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,56,0,0,0,172,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,42,1105,0,87,0,0,0,2428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482
Hiji,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,335,0,4583,0,252,208,0,0,124,0,0,0,705,0,0,0,0,0,0,0,21,0,0,0,0,846,0,577,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,299,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,112,0,0,0,0,0,0,0,0,379,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,19,0,0,0,584,0,0,0,0,0,0,0,0,0,126,5605,38,37,20,0,0,0,0,0,0,0,0,0,0,35,0,0,0,164,0,0,0,0,226,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,30,0,0,0,0,29,0,0,0,0,0,0,238,0,812,0,0,0,0,0,35,18,0,0,42,0,0,0,0,0,0,0,0,0,85,54,2992,0,0,0,0,0,6472,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,19,0,0,0,0,0,0,0,0,0,0,459
Hino,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995,0,1938,204,399,0,0,0,509,0,81,0,1161,0,0,0,1171,0,0,0,0,0,0,0,0,1839,0,1368,107,0,89,0,0,0,0,181,0,0,0,0,0,0,58,92,0,0,0,1070,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,889,63,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,1659,6100,0,0,0,0,0,7786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuma,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,2236,195,0,0,0,0,0,0,0,723,0,2205,0,0,93,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,92,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,962,0,0,2472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,1895,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0,0,0,0,0,0,994,14391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,25,475,0,0,606,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
Kuzuryu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2657,0,0,0,0,0,0,0,0,893,0,115,0,69,279,0,0,64,122,0,0,139,0,0,0,23,77,40,0,0,0,0,0,0,1994,0,0,0,0,0,0,0,0,0,129,0,0,41,29,0,0,0,0,0,0,0,40,0,0,0,0,58,0,0,0,0,0,0,0,0,0,2764,0,7047,0,0,0,0,0,36,36,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,8176,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,61,0,0,0,0,0,0,0,0,3527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,2503,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
Mabechi,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,53,0,0,50,0,0,0,34,0,94,0,0,266,0,0,0,550,0,0,0,0,231,0,0,0,148,0,0,0,0,0,416,5986,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,77,85,0,0,17,0,43,0,0,0,0,0,0,0,0,0,0,0,4519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,5442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,8868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3102,0,0,0,349,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,56
