River,ID,Latitude,Longitude,SST_HT,SST_LT,SST_Av,Salinity_HT,Salinity_LT,Salinity_Av,SS,pH,CRAR,DOB,DOS,TN,discharge,Length_km,W_AREA,POP2015,DENSITY2015,PF2014,AGRI2014,FOREST2014,AB_LAND2014,U_AREA2014,RL2014,GOLF2014
Aka,21,38.8477,139.7863,24.1,26,25.1,6.4,7.7,7.1,7.1,7.1,25.76,6,8.84,1.14,57.33,70,859.4490831,107060,124.5681706,128.69034,29.598082,712.356137,11.046116,46.644676,22.803088,0.874624
Ara,20,38.152,139.4156,24.4,22.3,23.4,0.3,0.3,0.3,8.7,7.3,38.18,6.9,9,0.4,106.46,73,1159.691158,33972,29.29400622,72.811972,9.395495,1112.852987,19.818545,24.103504,25.767451,0.831307
Asahi,9,34.61422778,133.9628333,22.7,24.2,23.5,4.3,6,5.2,6.5,7.8,82.74,4.6,7.6,0.57,44.85,142,1852.676341,468023,252.6199475,199.424423,78.307548,1526.720623,17.4269,154.181451,45.666706,7.367784
Chikugo,16,33.160925,130.35055,31.7,33,32.4,19.2,4.1,11.7,43.7,7.6,94.38,4.4,8.01,1.32,151.65,143,2911.532659,1058808,363.6600114,523.975503,210.278221,1755.929906,94.554526,390.51906,88.500519,9.508126
Fuji,5,35.1156,138.6336,22.1,22,22.1,1.5,0.7,1.1,3.4,8,19.75,7.7,9.29,1,53.69,128,3998.929789,1107088,276.8460709,162.92108,364.581749,3118.776625,95.72936,377.440865,80.26279,22.439212
Hiji,11,33.61119167,132.4766917,20.2,20.1,20.2,3.3,9.1,6.2,3,7.9,65.12,7.9,7.8,0.65,38.57,103,1229.237536,90355,73.50491451,78.29922,97.234904,1080.692219,8.171427,41.298348,17.313677,1.630661
Hino,18,35.44825278,133.3712083,27.4,27.3,27.4,0.7,0.1,0.4,2.7,7.3,29.42,6.3,7.93,0.65,100.07,77,880.6506576,50391,57.22019233,90.565501,19.410837,802.305146,14.543757,34.148269,12.542295,1.879396
Kuma,15,32.48395278,130.5801194,29.8,28.8,29.3,7.8,4.8,6.3,4.9,7.8,80.38,5.9,8.36,0.49,160.21,115,1940.497739,140425,72.36545407,130.548486,62.717775,1705.854927,49.129971,78.536209,31.234637,1.969221
Kuzuryu,19,36.218,136.1356,26.3,24.7,25.5,4.7,3.1,3.9,7.6,8.6,56.78,7.3,10.8,0.36,122.03,116,2918.001312,623348,213.6215626,371.780965,25.602719,2356.118592,12.92465,248.327643,72.552656,3.901519
Mabechi,2,40.5419,141.503,23.8,23.3,23.6,4.4,0.8,2.6,14.2,7.6,91.51,8.2,8.77,1.23,43.12,142,2036.917751,176040,86.42469727,105.356449,278.308751,1713.250533,26.438918,92.364445,15.820503,0.049318
